Question,Answer,Quotes
إيه النتيجة الإيجابية لأزمة برشلونة المالية حسب رأي المتحدث؟,الاعتماد على أكاديمية لاماسيا,"[{'text': 'برشلونه بتاع يعني يعني الازمه الماليه اللي جت لها دي جت لها نجده انها ما تجيبش لعيبه وتطلع اللاعيبه اللي عندها', 'start_char': 2056, 'end_char': 2165}, {'text': 'بص النهارده ريال مدريد على مدار تاريخه لم يستغل قطاع الناشئين بتاعه . تبص وتتعلم النهارده اكاديميه اللمسيه .', 'start_char': 1215, 'end_char': 1318}, {'text': 'اقسم بالله العظيم احلى مليار مره من اللعيب اهو عندك الدليل كسبوا مرتين في الموسم ريال مدريد', 'start_char': 2166, 'end_char': 2244}]"
,,
مين اللاعبين الجداد اللي المتحدث ذكر إنهم انضموا لتشكيلة برشلونة؟,داني أولمو وباو فيكتور.,"[{'text': 'مجرد بس زاد عليه داني اولمو وباو فيكتور', 'start_char': 492, 'end_char': 531}]"
من بين قادة إسرائيل وحزب الله، من كان في مكان غير عسكري؟,بنيامين نتنياهو,"[{'text': 'نتنياهو اصدر اوامره بقتل قيادات حزب الله وعلى راسهم امينه العام هو في جناح فندق ليوس ريجنس نيويورك اوتيل الواقع على شارع بارك افينيو .', 'start_char': 1198, 'end_char': 1325}, {'text': 'كان وزير الحرب الاسرائيلي يواف جلاند استلم الاوامر من نتنياهو وبدا فورا يتابع تنفيذ الهجوم على مقر حزب الله من غرفه القياده تحت الارض التابعه لسلاح الجوي الاسرائيلي .', 'start_char': 1941, 'end_char': 2111}, {'text': 'اغتيال الامين العام لحزب الله حسن نصر الله ومجموعه من كبار القيادات معاه في مقر قيادتهم تحت الارض في الضاحيه الجنوبيه في لبنان .', 'start_char': 1099, 'end_char': 1196}]"
,,
منين كان وزير الحرب الإسرائيلي يواف جالانت بيتابع تنفيذ الهجوم؟,من غرفه القياده تحت الارض التابعه لسلاح الجوي الاسرائيلي.,"[{'text': 'من غرفه القياده تحت الارض التابعه لسلاح الجوي الاسرائيلي', 'start_char': 2041, 'end_char': 2109}]"
ما دلالة اختلاف موقعي إصدار ومتابعة أمر الاغتيال؟,القرار سياسي والتنفيذ عسكري.,"[{'text': 'نتنياهو اصدر اوامره بقتل قيادات حزب الله وعلى راسهم امينه العام هو في جناح فندق ليوس ريجنس نيويورك اوتيل الواقع على شارع بارك افينيو .', 'start_char': 1121, 'end_char': 1242}, {'text': 'كان وزير الحرب الاسرائيلي يواف جلاند استلم الاوامر من نتنياهو وبدا فورا يتابع تنفيذ الهجوم على مقر حزب الله من غرفه القياده تحت الارض التابعه لسلاح الجوي الاسرائيلي .', 'start_char': 1699, 'end_char': 1864}]"
,,
مين اللي كان واقف جنب نتنياهو في الصورة وقت إعطاء الأمر باغتيال نصرالله؟,سكرتيره العسكري ورئيس الاركان.,"[{'text': 'سكرتيره العسكري ورئيس الاركان', 'start_char': 1089, 'end_char': 1119}]"
ما طبيعة مكانيْ إصدار ومتابعة الأمر باغتيال نصر الله؟,مدني فاخر وعسكري محصن,"[{'text': 'نتنياهو اصدر اوامره بقتل قيادات حزب الله وعلى راسهم امينه العام هو في جناح فندق ليوس ريجنس نيويورك اوتيل الواقع على شارع بارك افينيو .', 'start_char': 1195, 'end_char': 1308}, {'text': 'كان وزير الحرب الاسرائيلي يواف جلاند استلم الاوامر من نتنياهو وبدا فورا يتابع تنفيذ الهجوم على مقر حزب الله من غرفه القياده تحت الارض التابعه لسلاح الجوي الاسرائيلي .', 'start_char': 1716, 'end_char': 1876}]"
,,
إيه سبب وجود نتنياهو في نيويورك وقت إصدار أمر الاغتيال؟,حضور اجتماعات الأمم المتحدة.,"[{'text': 'حضور اجتماعات الامم المتحده', 'start_char': 1065, 'end_char': 1091}]"
إلى ماذا يشير اختلاف بيئة مُصدر الأمر عن منفذه؟,فصل القيادة السياسية والعسكرية,"[{'text': 'نتنياهو اصدر اوامره بقتل قيادات حزب الله وعلى راسهم امينه العام هو في جناح فندق ليوس ريجنس نيويورك اوتيل الواقع على شارع بارك افينيو .', 'start_char': 1215, 'end_char': 1342}, {'text': 'كان وزير الحرب الاسرائيلي يواف جلاند استلم الاوامر من نتنياهو وبدا فورا يتابع تنفيذ الهجوم على مقر حزب الله من غرفه القياده تحت الارض التابعه لسلاح الجوي الاسرائيلي .', 'start_char': 2045, 'end_char': 2202}]"
,,
إيه عدد الصواريخ اللي استخدمتها إيران في ضربتها ضد الكيان المحتل؟,أكتر من 200 صاروخ بالستي.,"[{'text': 'باكتر من 200 صاروخ بالستي', 'start_char': 239, 'end_char': 265}]"
ما دلالة اختلاف موقعي القادة الإسرائيليين أثناء الهجوم؟,اختلاف طبيعة أدوارهما,"[{'text': 'نتنياهو اصدر اوامره بقتل قيادات حزب الله وعلى راسهم امينه العام هو في جناح فندق ليوس ريجنس نيويورك اوتيل الواقع على شارع بارك افينيو .', 'start_char': 1290, 'end_char': 1407}, {'text': 'كان وزير الحرب الاسرائيلي يواف جلاند استلم الاوامر من نتنياهو وبدا فورا يتابع تنفيذ الهجوم على مقر حزب الله من غرفه القياده تحت الارض التابعه لسلاح الجوي الاسرائيلي .', 'start_char': 2007, 'end_char': 2173}]"
,,
إزاي تم التأكد من مكان إقامة نتنياهو وقت إصدار أمر الاغتيال؟,"بمطابقة جناح ""الاكزاتيوتيف سويت"" في الفندق مع الصورة اللي اتنشرت له.","[{'text': 'وبالفعل لقينا الاكزاتيوتيف سويت في الفندق مطابقه تماما للي في الصوره', 'start_char': 1877, 'end_char': 1951}]"
إيه اللي حصل لرجال الأعمال بعد اجتماع شيراتون؟,احتجاز، إقامة جبرية، هروب، واستيلاء.,"[{'text': 'بعد الاجتماع تم احتجاز بعض اللي رفضوا تسليم اصول ممتلكاتهم او اسهم شركاتهم وتشحنو على فرع المخابرات 251 في دمشق', 'start_char': 1632, 'end_char': 1761}, {'text': 'والبعض التاني تم وضع قايد الاقامه الجبريه وابرزهم رامي مخلوف ابن خال بشار الاسد', 'start_char': 1764, 'end_char': 1850}, {'text': 'وفي الايام التاليه للاجتماع هرب عدد من اغنى السوريين واستولى النظام على شركاتهم واعمالهم', 'start_char': 1957, 'end_char': 2059}]"
بماذا وصف النص الإمبراطورية الاقتصادية اللي رعاها نظام بشار الأسد؟,اتصفت بالإجرام.,"[{'text': 'الحكايه دي وغيرها من مئات الحكايات بتوضح لنا ازاي نظام بشار الاسد مش بس رعى امبراطوريه اقتصاديه اجراميه وتسبب في تدمير البلد', 'start_char': 2062, 'end_char': 2182}]"
إيه الاسم اللي أطلقه المتحدث على ما طلبه حازم قرفول من رجال الأعمال؟,ضريبة حماية.,"[{'text': 'طلب منهم حاجه احنا ممكن نسميها ضريبه حمايه', 'start_char': 1195, 'end_char': 1238}]"
إزاي تصرف محافظ البنك المركزي يهدد مستقبل الاستثمار؟,يدمر الأمان الاقتصادي للمستثمرين,"[{'text': 'يجتمعوا مع حازم كارفول رئيس مصرف سوريا المركزي وقتها', 'start_char': 228, 'end_char': 271}, {'text': 'وفي النهايه طلب منهم حاجه احنا ممكن نسميها ضريبه حمايه .', 'start_char': 622, 'end_char': 671}, {'text': 'حازم كان جاي برساله بسيطه من قيادات عليا في المخابرات السوريه والقصر الجمهوري نفسه', 'start_char': 673, 'end_char': 757}]"
,,
كم تُقدر الثروة اللي استولت عليها عائلة الأسد على أقل تقدير؟,ما بين المليار وال 2 مليار دولار.,"[{'text': 'ارقام ما بين المليار وال 2 مليار دولار على اقل تقدير استولت عليها عائله الاسد', 'start_char': 2432, 'end_char': 2510}]"
إيه التحول في استراتيجية النظام الاقتصادية اللي الاجتماع كشفه؟,من التسهيلات للابتزاز المباشر,"[{'text': 'مفادها ان عصر الخدمات والتسهيلات انتهى', 'start_char': 1079, 'end_char': 1115}, {'text': 'الابتزاز العلني ده في اوساط النظام استفز بعض الحاضرين', 'start_char': 1735, 'end_char': 1787}]"
إيه اللي حصل لرجال الأعمال اللي رفضوا يسلموا ممتلكاتهم للنظام السوري بعد الاجتماع؟,الاحتجاز والإقامة الجبرية.,"[{'text': 'بعد الاجتماع تم احتجاز بعض اللي رفضوا تسليم اصول ممتلكاتهم او اسهم شركاتهم وتشحنو على فرع المخابرات 251 في دمشق ، والبعض التاني تم وضع قايد الاقامه الجبريه', 'start_char': 1933, 'end_char': 2122}]"
الرسالة اللي وصلها حازم قرفول لرجال الأعمال كانت جاية من مين؟,من قيادات عليا في المخابرات السورية والقصر الجمهوري.,"[{'text': 'حازم كان جاي برساله بسيطه من قيادات عليا في المخابرات السوريه والقصر الجمهوري نفسه', 'start_char': 1259, 'end_char': 1341}]"
ماذا كان مصير رجال الأعمال الذين رفضوا دفع الأموال للنظام السوري؟,الاحتجاز، الإقامة الجبرية، أو مصادرة الأملاك.,"[{'text': 'بعد الاجتماع تم احتجاز بعض اللي رفضوا تسليم اصول ممتلكاتهم او اسهم شركاتهم وتشحنو على فرع المخابرات 251 في دمشق ، والبعض التاني تم وضع قايد الاقامه الجبريه', 'start_char': 1629, 'end_char': 1779}, {'text': 'وفي الايام التاليه للاجتماع هرب عدد من اغنى السوريين واستولى النظام على شركاتهم واعمالهم', 'start_char': 1891, 'end_char': 1982}]"
إيه هو الوضع المالي اللي كان نظام بشار بيواجهه وقتها؟,كان على وشك الإفلاس.,"[{'text': 'طبعا وقتها كان واضح للكل جوه وبره سوريا ان نظام بشار بيفلس ومش لاقي فلوس يمول بيها آلته الحربيه والاجرامية', 'start_char': 1143, 'end_char': 1248}]"
ما هي وسائل الإعلام العالمية التي أكدت تفاصيل الاجتماع؟,ذا ايكونوميست وفاينشال تايمز.,"[{'text': 'ذا ايكونوميست وفاينشال تايمز', 'start_char': 1819, 'end_char': 1848}]"
ما نتيجة اجتماع 2019 على مجتمع الأعمال السوري؟,هروب رجال أعمال واستيلاء النظام.,"[{'text': 'بعد الاجتماع تم احتجاز بعض اللي رفضوا تسليم اصول ممتلكاتهم او اسهم شركاتهم وتشحنو على فرع المخابرات 251 في دمشق', 'start_char': 1632, 'end_char': 1761}, {'text': 'وفي الايام التاليه للاجتماع هرب عدد من اغنى السوريين واستولى النظام على شركاتهم واعمالهم', 'start_char': 1891, 'end_char': 1985}]"
بماذا وُصفت ثروات رجال الأعمال نتيجة تسهيلات النظام؟,وُصفت بأنها متضخمة.,"[{'text': 'والتسهيلات اللي خدوها واللي ساهمت في تضخم ثرواتهم', 'start_char': 961, 'end_char': 1011}]"
مين أبرز شخصية اتحطت تحت الإقامة الجبرية بعد الاجتماع؟,رامي مخلوف ابن خال بشار الأسد.,"[{'text': 'وابرزهم رامي مخلوف ابن خال بشار الاسد', 'start_char': 1839, 'end_char': 1873}]"
ماذا يمكن استنتاجه عن ثقافة السلامة المرورية بهانوي؟,ضعف إجراءات السلامة,"[{'text': 'يا جماعه البسوا هلمت عشان الدنيا اخطر', 'start_char': 1974, 'end_char': 2011}, {'text': 'ودي هو اعتبر الطاقية هيلمت', 'start_char': 2073, 'end_char': 2098}]"
بماذا يتميز توقيت نشاط السوق الأول الذي زاره المتحدث؟,نشاطه ليلي,"[{'text': 'احنا عرفنا ان هو بيجهزوا دلوقتي السوق للاجواء بالليل', 'start_char': 1076, 'end_char': 1131}, {'text': 'سالت حد قال زي ما سمعتو يعني ، قال ان هو شغال بالليل', 'start_char': 1845, 'end_char': 1897}]"
أين يقع أول سوق زاره المتحدث بالنسبة للمدينة؟,نص ساعه بره المدينه,"[{'text': 'نص ساعه بره المدينه', 'start_char': 312, 'end_char': 331}]"
من هم الزبائن المحتملون للسوق بناءً على توقيت عمله؟,السكان المحليين العاملين,"[{'text': 'دي بقى بتاعه الناس السكان المحليين مش الناس السياح', 'start_char': 226, 'end_char': 274}, {'text': 'دايما حاجات الخضار بتبقى بالنهار بدري ، فمش عارف ليه ده غريب شويه وشغال بالليل يعني', 'start_char': 1748, 'end_char': 1836}]"
كيف يمكن وصف الطقس في هانوي كما ذكر المتحدث؟,رطب,"[{'text': 'الجو بقى الرطوبه عاليه', 'start_char': 1543, 'end_char': 1564}]"
كم كان سعر فاكهة الجاك فروت في السوق؟,بدولار واحد,"[{'text': 'بدولار واحد', 'start_char': 756, 'end_char': 766}]"
لماذا اعتبر المتحدث عمل السوق ليلاً أمراً غريباً؟,لأن أسواق الخضار نهارية,"[{'text': 'دايما حاجات الخضار بتبقى بالنهار بدري', 'start_char': 1047, 'end_char': 1083}, {'text': 'فمش عارف ليه ده غريب شويه وشغال بالليل يعني', 'start_char': 1085, 'end_char': 1129}]"
كيف وصف المتحدث أصناف المانجو المعروضة في السوق الأول؟,متنوعة,"[{'text': 'مانجا انواع بقى كتير من المانجا يعني', 'start_char': 458, 'end_char': 491}, {'text': 'لكن في هنا انواع مانجا كتير ما شفتهاش جوه نهائي', 'start_char': 622, 'end_char': 670}]"
ما هي وسيلة المواصلات التي طلبها المتحدث للذهاب إلى الترين ستريت؟,سكوتر,"[{'text': 'طلبنا سكوتر يجي ياخدنا', 'start_char': 1464, 'end_char': 1485}]"
ما الأمر الغريب في توقيت عمل السوق الأول؟,سوق خضار يعمل ليلاً,"[{'text': 'دايما حاجات الخضار بتبقى بالنهار بدري ، فمش عارف ليه ده غريب شويه وشغال بالليل يعني', 'start_char': 1109, 'end_char': 1188}, {'text': 'سالت حد قال زي ما سمعتو يعني ، قال ان هو شغال بالليل', 'start_char': 1191, 'end_char': 1236}]"
,,
ما هو اليوم المفضل للمتحدث خلال رحلاته في قارة آسيا؟,يوم الماركتز,"[{'text': 'ده احلى يوم بحبه في رحلات اسيا ، يوم الماركتز', 'start_char': 40, 'end_char': 81}]"
إيه الفرق الأساسي في طبيعة السوقين المذكورين؟,الأول محلي والتاني سياحي,"[{'text': 'دي بقى بتاعه الناس السكان المحليين مش الناس السياح', 'start_char': 133, 'end_char': 178}, {'text': 'والناس بتجي بقى مخصوص من كل مكان في العالم عشان تحضر الماركت ده', 'start_char': 851, 'end_char': 917}]"
كيف بدت طريقة عرض الفواكه النادرة في السوق الأول؟,مهملة,"[{'text': 'دراجون فروت مرميه في الارض .', 'start_char': 876, 'end_char': 903}, {'text': 'متخيلين دي بتتحط عندنا بتتحط جوه التلاجه', 'start_char': 905, 'end_char': 947}, {'text': 'مرميه في الارض الجاك فروت مرميه في الارض .', 'start_char': 1019, 'end_char': 1061}]"
إيه الاسم اللي بيطلقه السكان المحليين على الترين ماركت؟,ترين ستريت,"[{'text': 'هنا بيسموه ترين ستريت', 'start_char': 1421, 'end_char': 1442}]"
إزاي شركة الضمان بتستفيد من عمر صلاحية المنتج؟,بتحصيل أموال بلا خدمة,"[{'text': 'وعقبال بقى لما الحاجه تبوظ علشان يعني تاريخ صلاحيتها خلص بكل بساطه ، هيكون كده كده الضمان بتاعك خلص .', 'start_char': 1391, 'end_char': 1512}, {'text': 'وبكده تكون الشركه بتاعه الضمان يعني عملت فيك واحد صفر واخذت الفلوس من غير ما تعمل اي حاجه ثانيه .', 'start_char': 1558, 'end_char': 1665}]"
ما هي طبيعة العلاقة بين الشركة الأساسية وشركة الضمان؟,التعاون,"[{'text': 'الشركه الاساسيه بتكون متعاونه مع شركه الضمان', 'start_char': 1787, 'end_char': 1827}]"
ما هو موقف زوجة المتحدث من صوت التلاجة؟,ده شيء مرفوض تماما,"[{'text': 'ده شيء مرفوض تماما', 'start_char': 129, 'end_char': 147}]"
إيه الافتراض الأساسي لنموذج عمل شركات الضمان؟,المستهلك بيحافظ على حاجته,"[{'text': 'ان هم بيخلوا بالهم من الحاجه بتاعتهم . ده الشيء الطبيعي المنطقي', 'start_char': 1466, 'end_char': 1526}, {'text': 'فالضمان بيعتمد عليك انت المستهلك العاقل اللي اكيد 100 % مش هيبوظ الحاجه بتاعته .', 'start_char': 1572, 'end_char': 1653}]"
ماذا فعل المتحدث نتيجة لصعوبة تواصله مع الشركة لحل مشكلة الثلاجة؟,بحث على يوتيوب,"[{'text': 'فانا ما قدرتش استنى ودخلت على اليوتيوب ابدا ادور بنفسي عن سبب الصوت ده', 'start_char': 510, 'end_char': 585}]"
ماذا اكتشف المتحدث بخصوص صوت الثلاجة الجديدة؟,ان ده شيء عادي جدا,"[{'text': 'ان ده شيء عادي جدا', 'start_char': 610, 'end_char': 628}]"
إزاي تجربة المتحدث بتدعم رأي الخبير في الضمان؟,دفع الضمان على الفاضي,"[{'text': 'ومره واحده لقيت ان الصوت اختفى .', 'start_char': 400, 'end_char': 430}, {'text': 'دورت اكتر عشان افهم الفكره بتاعه الضمان اللي انا دفعت فلوسه على الفاضي ده', 'start_char': 488, 'end_char': 562}, {'text': 'فكل بساطه الضمان عمل منك فلوس على ولا حاجه', 'start_char': 1575, 'end_char': 1616}]"
وفقًا للمتحدث، ما الذي يجب أن يكون من اهتمامات الشركة تجاه العميل؟,سعادته بالمنتج,"[{'text': 'ان هو يكون سعيد بالمنتج ؟', 'start_char': 461, 'end_char': 483}]"
من أين عرفت زوجة المتحدث لأول مرة عن صوت الثلاجة؟,من الفيديو ده,"[{'text': 'وعلى فكره هي هتعرف المعلومه دي لاول مره من الفيديو ده', 'start_char': 180, 'end_char': 231}]"
إزاي تجربة المتحدث بتدعم تحليل الخبير للضمان؟,لأنهم لا يقدمون الخدمة.,"[{'text': 'فليه كل الموال ده علشان اكلم حد يجي يصلحها ؟', 'start_char': 326, 'end_char': 374}, {'text': 'وبكده تكون الشركه بتاعه الضمان يعني عملت فيك واحد صفر واخذت الفلوس من غير ما تعمل اي حاجه ثانيه .', 'start_char': 1478, 'end_char': 1585}]"
ما الذي سببه صوت الثلاجة للمتحدث؟,الإزعاج,"[{'text': 'بالنسبه لي الموضوع اكيد كان مزعج', 'start_char': 98, 'end_char': 128}]"
ما الذي تقدمه الشركة الأساسية لشركة الضمان؟,فلوس,"[{'text': 'فلوس', 'start_char': 1867, 'end_char': 1871}]"
إيه أساس النموذج الربحي لشركات الضمان؟,حرص المستهلك وانتهاء الصلاحية,"[{'text': 'فالضمان بيعتمد عليك انت المستهلك العاقل اللي اكيد 100 % مش هيبوظ الحاجه بتاعته .', 'start_char': 1916, 'end_char': 1994}, {'text': 'وعقبال بقى لما الحاجه تبوظ علشان يعني تاريخ صلاحيتها خلص بكل بساطه ، هيكون كده كده الضمان بتاعك خلص .', 'start_char': 2026, 'end_char': 2126}]"
ما هو الشعور الذي تملّك المتحدث عندما أصدرت الثلاجة صوتاً لأول مرة؟,الخوف,"[{'text': 'وبعد ما وصلت التلاجه حصل اكتر حاجه انا كنت خايف منها', 'start_char': 29, 'end_char': 79}]"
ما هو السبب المنطقي لحرص الناس على ممتلكاتهم؟,انت اكيد مش عايزها تبوظ علشان انت هتفضل قاعد فتره من غيرها لو باظت,"[{'text': 'انت اكيد مش عايزها تبوظ علشان انت هتفضل قاعد فتره من غيرها لو باظت .', 'start_char': 1269, 'end_char': 1342}]"
إيه الهدف من الحرب النفسية المذكورة؟,قتل الروح وتطبيع الموت.,"[{'text': 'وازاي ان الاعداء بتوعنا بيستخدموا الموضوع ده علشان يقتلونا وده جزء من الحرب السيكولوجيه والاعلاميه اللي بتحصل .', 'start_char': 666, 'end_char': 779}, {'text': 'هم قتلوا الروح بتاعتنا وهم فازوا وخلاص احنا بقينا نتعود على الارقام', 'start_char': 1386, 'end_char': 1450}]"
حسب النص، إيه كان الشعور العام في بداية الحرب؟,الاهتزاز والخوف الشديد.,"[{'text': 'كلنا كنا مهزوزين ويعني خايفين جدا على اهلنا هناك .', 'start_char': 345, 'end_char': 395}]"
إزاي المتحدث بيوصف القناة بتاعته؟,المدونه البصريه بتاعتي,"[{'text': 'المدونه البصريه بتاعتي', 'start_char': 2220, 'end_char': 2241}]"
إيه نتيجة التعود على المآسي حسب وصف المتحدث؟,تبلد الإحساس,"[{'text': 'اول لما كنت بتسمع الاخبار وهي طالعه من من هناك و زي كلنا كنا مهزوزين ويعني خايفين جدا على اهلنا هناك . كنا نسمع رقم ان في 300 شهيد ولسه الارقام في اول كم يوم احنا ما كناش بنعرف ننام .', 'start_char': 196, 'end_char': 367}, {'text': ""دلوقتي حالا لما انت بتسمع رقم ان عدد الشهداء في غزه اللي احنا عارفينه لحد دلوقتي وصل ل 000'40 , الموضوع ما بيهزكش من جوه زي ما كان بيهزك ويخليك ما بتعرفش تنام اول لما بدا خالص ."", 'start_char': 1251, 'end_char': 1446}]"
,,
حسب النص، إيه اللي حصل في لبنان في يوم واحد؟,في يوم واحد في 500 شخص توفوا في لبنان,"[{'text': 'في يوم واحد في 500 شخص توفوا في لبنان', 'start_char': 504, 'end_char': 542}]"
إيه الدليل اللي قاله المتحدث على نجاح الحرب النفسية؟,تضاؤل التأثر بأعداد الضحايا.,"[{'text': 'كنا نسمع رقم ان في 300 شهيد ولسه الارقام في اول كم يوم احنا ما كناش بنعرف ننام .', 'start_char': 311, 'end_char': 395}, {'text': ""دلوقتي حالا لما انت بتسمع رقم ان عدد الشهداء في غزه اللي احنا عارفينه لحد دلوقتي وصل ل 000'40 , الموضوع ما بيهزكش من جوه زي ما كان بيهزك ويخليك ما بتعرفش تنام اول لما بدا خالص ."", 'start_char': 1222, 'end_char': 1404}]"
,,
إيه اللي المتحدث عاوز يحفظه من خلال الفيديو ده؟,اللحظه الغريبه في في التاريخ اللي احنا عايشين فيه دلوقتي,"[{'text': 'اللحظه الغريبه في في التاريخ اللي احنا عايشين فيه دلوقتي', 'start_char': 2380, 'end_char': 2435}]"
إيه نتيجة استغلال الأعداء لتعود الناس على المآسي؟,قتل الروح المعنوية.,"[{'text': 'وازاي ان الاعداء بتوعنا بيستخدموا الموضوع ده علشان يقتلونا', 'start_char': 861, 'end_char': 916}, {'text': 'وده جزء من الحرب السيكولوجيه والاعلاميه اللي بتحصل', 'start_char': 917, 'end_char': 967}, {'text': 'قتلوا الروح بتاعتنا', 'start_char': 1307, 'end_char': 1324}]"
إيه الحالة النفسية اللي بيشعر بيها الشخص تجاه نفسه لما يلاحظ تغيره؟,الصدمة.,"[{'text': 'اول حاجه الشخص فعلا يكون مصدوم فيها من من نفسه', 'start_char': 1498, 'end_char': 1544}]"
حسب النص، إيه اللي المتحدث بيحاول يفسره للمشاهدين؟,ايه سبب الشعور ده,"[{'text': 'ايه سبب الشعور ده', 'start_char': 1500, 'end_char': 1517}]"
ما هدف الحرب النفسية التي ذكرها المتحدث؟,القتل النفسي,"[{'text': 'ازاي احنا فعلا مع الوقت ممكن نتعود على حاجات في منتهى البشاعه', 'start_char': 864, 'end_char': 927}, {'text': 'وازاي ان الاعداء بتوعنا بيستخدموا الموضوع ده علشان يقتلونا وده جزء من الحرب السيكولوجيه والاعلاميه اللي بتحصل', 'start_char': 928, 'end_char': 1032}]"
حسب النص، وعي من الذي تم التلاعب به؟,وعي المجتمع.,"[{'text': 'وازاي اتلعب بال الوعي الاجتماعي لناس كتيره .', 'start_char': 1122, 'end_char': 1166}]"
من أي جانب هيشرح المتحدث فكرة التعود على المآسي؟,من جانب الخبره بتاعتي اعلاميا,"[{'text': 'من جانب الخبره بتاعتي اعلاميا', 'start_char': 774, 'end_char': 802}]"
إزاي منع الأدينوسين بيسبب الشعور بالسعادة؟,بيحسن أداء الدوبامين,"[{'text': 'في دراسه اتعملت في 2015 بتقول ان الدوبامين بيشتغل بصوره افضل في حال انه ارتبط بالكافيين ، وده بيحصل لما بيتم منع مستقبلات الادينوسين من العمل في الدماغ .', 'start_char': 1876, 'end_char': 2015}, {'text': 'الدوبامين ماده منبهه طبيعيه بيتم انتاجها في دماغ الانسان ، واللي البعض بيعتبره ماده كيميائيه ممتعه لان الدوبامين هو اللي بيحفز الدماغ على الشعور بالنشاط والسعاده .', 'start_char': 2017, 'end_char': 2191}]"
ما هي العلاقة بين بنية الكافيين الكيميائية والأدينوسين؟,بنيتهما الكيميائية متشابهة,"[{'text': 'الكافين بيشبه في البنيه الكيميائيه بتاعته ماده بتتكون في الدماغ اسمها الادينوسين .', 'start_char': 1146, 'end_char': 1235}]"
ما هو التأثير الذي يحدثه الكافيين على تدفق الدم للمخ؟,بيقلل من تدفق الدم للمخ بحوالي 27 %,"[{'text': 'الكافيين بيقلل من تدفق الدم للمخ بحوالي 27 %', 'start_char': 2419, 'end_char': 2465}]"
بناءً على النص، إيه السبب المحتمل للصداع اللي بيعالجه الكافيين؟,تضخم الأوعية الدموية بالدماغ.,"[{'text': 'بيعتبر الكافيين احد المكونات الرئيسيه لمعظم ادويه الصداع والصداع النصفي', 'start_char': 2169, 'end_char': 2244}, {'text': 'واللي بدوره بيقلل من عمليه تضخم الاوعيه الدمويه في الدماغ', 'start_char': 2326, 'end_char': 2383}]"
,,
بماذا يُعتبر الكافيين على مستوى العالم حسب النص؟,الماده ذات التاثير النفسي الاكثر استخداماً في العالم كله,"[{'text': 'وعلشان كده يعتبر الكافيين هو الماده ذات التاثير النفسي الاكثر استخداماً في العالم كله .', 'start_char': 496, 'end_char': 576}]"
ما هما الناقلان العصبيان اللذان يتأثران عند تثبيط الأدينوسين بفعل الكافيين؟,الأدرينالين والدوبامين.,"[{'text': 'الجسم بيبدا يفرز ادرينالين يحل محل الادينوسين', 'start_char': 1416, 'end_char': 1461}, {'text': 'الدوبامين بيشتغل بصوره افضل في حال انه ارتبط بالكافيين ، وده بيحصل لما بيتم منع مستقبلات الادينوسين من العمل في الدماغ', 'start_char': 1895, 'end_char': 2013}]"
,,
إيه اللي بيحصل لمستقبلات الأدينوسين عند اللي بيستهلكوا الكافيين بكثرة؟,مستقبلات الادينوسين في الدماغ بتزيد عندهم,"[{'text': 'مستقبلات الادينوسين في الدماغ بتزيد عندهم', 'start_char': 1739, 'end_char': 1779}]"
إيه ممكن يحصل لو مستهلك كافيين منتظم وقّف فجأة؟,الشعور بالنعاس الشديد,"[{'text': 'والماده دي هي اللي بتخلي الانسان يشعر بالنعاس وما بتقلش في الجسم غير لما الانسان ينام .', 'start_char': 1109, 'end_char': 1184}, {'text': 'ومن الجدير بالذكر ان الناس اللي بيستخدموا الكافيين بصوره كبيره ، مستقبلات الادينوسين في الدماغ بتزيد عندهم', 'start_char': 1600, 'end_char': 1701}]"
,,
ما هو متوسط استهلاك الكافيين اليومي على مستوى العالم؟,من 110 مل غرام لي 300 مل غرام,"[{'text': 'متوسط استهلاكه على مستوى العالم من 110 مل غرام لي 300 مل غرام', 'start_char': 893, 'end_char': 951}]"
إيه اللي بيحصل لفاعلية الكافيين مع الاستخدام المستمر؟,فاعليتها بتقل,"[{'text': 'بيخلي مدمنين القهوه عايزين منها كميات اكبر دائماً علشان بس يحصلوا على نفس التاثير اللي ممكن فنجان قهوه صغير يعمله في واحد مش بيشرب القهوه كتير', 'start_char': 1791, 'end_char': 1933}]"
ما هي طبيعة تأثير الكافيين على وظائف المخ حسب النص؟,تأثيره مُغيِّر مؤقت.,"[{'text': 'بالاضافه لكونه واحد من المواد اللي بتعمل تغيير مؤقت في وظائف المخ', 'start_char': 675, 'end_char': 738}]"
كم تبلغ نسبة الكافيين في كوب القهوة العادي المنتشر؟,حوالي 95 مل غرام,"[{'text': 'وكوبايه القهوه العاديه المنتشره اليومين دول نسبه الكافيين فيها حوالي 95 مل غرام', 'start_char': 954, 'end_char': 1032}]"
إيه الرسالة الضمنية اللي بيقدمها المتحدث عن السفر؟,تحدي الصور النمطية.,"[{'text': 'لو قلت لك شيكاغو ، اول حاجه هتيجي في دماغك هي الجرايم والاسلحه والمخدرات والعصابات الشهيره زي عصابه الكابون المعروفه باسم مافيا شيكاغو .', 'start_char': 66, 'end_char': 189}, {'text': 'هسيبكم تحكموا بعد ما نخلص جولتنا في شيكاغو اللي هنعرف من خلالها حكايه البلد مع ناطحات السحاب بالتفصيل', 'start_char': 201, 'end_char': 296}]"
,,
